Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
anadolu rock,0.5374285714285715,92.78285714285715,46.0,D,Minor
anarcho-punk,0.3068538461538461,171.93983516483522,41.278021978021975,D,Major
anglican liturgy,0.2539916666666667,85.16340476190476,21.464285714285715,C,Major
animal singing,0.7450000000000001,103.66133333333332,10.0,G,Minor
anime,0.505156490870241,129.0874012674825,54.43082264957266,Db,Major
anime latino,0.40663333333333335,143.89813333333333,63.93333333333334,B,Major
anime rock,0.5541126495726496,123.74434769230768,48.93418803418803,B,Major
anime score,0.5269649038774846,124.25902424568264,40.158996415770616,G,Major
ann arbor indie,0.6030119047619048,102.00466071428569,39.101190476190474,D,Major
anthem emo,0.5107172348484849,122.00262323232323,41.58320707070707,E,Major
anthem worship,0.4783786620530565,124.86255422470647,48.87984983586194,A,Major
anti-folk,0.5056472132136842,120.80886507783713,39.14763867259602,G,Major
antilliaanse folklore,0.583,124.095,0.0,C,Major
antiviral pop,0.5808055555555555,128.15059999999997,53.31111111111111,A,Major
appalachian folk,0.5511137565399381,122.10043900531336,18.47176948370429,A,Major
arab alternative,0.736,127.965,0.0,G,Minor
arab electronic,0.4724000000000001,107.78300000000002,2.333333333333333,Gb,Major
arab folk,0.4232140454939595,105.6410820450047,17.460283060674787,G,Major
arab groove,0.5436666666666666,111.64358333333334,39.41666666666666,Bb,Minor
arab pop,0.5834500000000001,122.02448562091504,31.96928104575164,E,Minor
arabesk,0.4266,134.38000000000002,40.0,F,Major
arabic hip hop,0.5705,106.165,43.5,Gb,Major
arabic jazz,0.4878333333333333,118.93916666666668,35.83333333333333,G,Minor
argentine ambient,0.37633333333333335,126.19666666666666,18.0,B,Major
argentine heavy metal,0.597,139.003,48.5,D,Major
argentine hip hop,0.7394166666666667,130.94724999999997,61.41666666666666,Ab,Major
argentine indie,0.5436714285714285,102.33389047619049,50.41190476190477,G,Major
argentine metal,0.62,179.99200000000005,48.0,Db,Major
argentine punk,0.5485,119.752,51.0,A,Major
argentine reggae,0.8155,93.01491666666668,64.75,Eb,Major
argentine rock,0.5883212593311233,113.40473013657923,52.0854682815032,G,Major
argentine telepop,0.622,138.013,59.0,A,Major
arizona punk,0.42200000000000004,122.881,48.5,B,Major
arkansas country,0.5827086402052454,114.3680276070038,32.85158053980593,Bb,Major
arkansas hip hop,0.6482499999999999,152.96550000000005,66.25,G,Minor
